Layer,Head,Impact,SNR,P_val
14,16,0.0,-0.226495719004293,0.9999999999992126
14,17,0.0,-0.1904453466268301,0.999999998772155
14,19,0.0,-0.31242221686844623,1.0
15,2,0.0,-0.19878442781974456,0.9999999997524435
15,3,0.0,-0.5086929604242748,1.0
15,4,0.0,-0.2233074281222795,0.9999999999984225
15,6,0.0,-0.3809178959840682,1.0
15,7,0.0,-0.30116520206167763,1.0
15,8,0.0,-0.14998295745037957,0.9999987794522289
15,9,0.024714312204010273,0.19712590165460936,3.4204335298915923e-10
15,10,0.01412682745503356,-0.9587262329261055,1.0
15,11,0.0,-0.22649457578099558,0.9999999999992124
15,12,0.0,-0.41685388425385517,1.0
15,13,0.0,-0.5525561503152071,1.0
15,14,0.0,-0.5378368835300006,1.0
15,15,0.0,-0.16658099888065903,0.9999999142430385
15,16,0.0,-0.3296477993849596,1.0
15,17,0.0,-0.156812512046795,0.9999995783418992
15,18,0.0,-0.3095209185035193,1.0
16,0,0.0,-0.5961297672816647,1.0
16,1,0.0,-0.47674107987098985,1.0
16,2,0.0,-0.18606419586148074,0.9999999972203573
16,3,0.019063001280694887,-0.14858314671199843,0.9999984901907479
16,4,0.0,-0.3073418710190642,1.0
16,5,0.0,-0.20734884923944988,0.9999999999551022
16,6,0.0,-0.4038329693146743,1.0
16,7,0.0,-0.17586311452816475,0.9999999825460378
16,8,0.0,-0.4166715429401841,1.0
16,9,0.0,-0.38348167677379874,1.0
16,10,0.0,-0.378796992276829,1.0
16,11,0.0,-0.14285714285714288,0.9999964617093752
16,12,0.009841442694507097,-0.770744065954517,1.0
16,13,0.0,-0.13538810472195728,0.9999897202005871
16,14,0.0,-0.17525441451490312,0.9999999805800883
16,15,0.0,-0.5741875230334751,1.0
16,17,0.0,-0.20972524242275983,0.9999999999723534
16,18,0.0,-0.26535885680248744,0.9999999999999999
16,19,0.0,-0.16935330677524796,0.9999999462662029
17,0,0.024372297401054337,0.040484220723888784,0.10049442723449066
17,1,0.0,-0.342709816653123,1.0
17,2,0.0,-0.20019231787889133,0.999999999812209
17,4,0.0,-0.42891185710539237,1.0
17,5,0.0,-0.16351391214927977,0.9999998573005565
17,6,0.0,-0.23656651803270448,0.9999999999999171
17,7,0.0,-0.40987851205092796,1.0
17,8,0.0,-0.3074807242272808,1.0
17,9,0.0,-0.1555203611091505,0.9999994827679877
17,10,0.0,-0.45748391895477764,1.0
17,11,0.0,-0.28090265097122347,1.0
17,14,0.0,-0.2155710128858756,0.9999999999917831
17,15,0.0,-0.23174953722170244,0.9999999999997541
17,16,0.018207919473831474,-0.27476683330799434,1.0
17,17,0.0,-0.191491696636674,0.9999999989923269
17,19,0.00689863020746049,-1.159903128094604,1.0
18,1,0.0,-0.21133781391550244,0.9999999999801598
18,2,0.0,-0.24233273788799178,0.999999999999978
18,3,0.0,-0.4913827006634018,1.0
18,4,0.0,-0.5077376022749014,1.0
18,5,0.018152242542137875,-0.3893871338003283,1.0
18,6,0.023374140310980385,-0.23991017588595334,0.9999999999999615
18,7,0.0,-0.2362819463220892,0.9999999999999115
18,8,0.005763202189949675,-1.519351685007135,1.0
18,9,0.0,-0.3458506378511574,1.0
18,10,0.0,-0.15813062782866905,0.9999996581901266
18,11,0.0,-0.3400206752859822,1.0
18,12,0.0,-0.4945676917053503,1.0
18,13,0.0,-0.22712355513991522,0.999999999999314
18,14,0.0,-0.2649954471553294,0.9999999999999999
18,15,0.0,-0.22338989060023437,0.9999999999984505
18,16,0.0,-0.25916150219631545,0.9999999999999996
18,18,0.0,-0.48209324815077464,1.0
18,19,0.0,-0.23903357103052217,0.9999999999999528
19,0,0.027379502820502024,0.48101312844239785,2.0533916174210275e-47
19,1,0.0,-0.16012815380508713,0.9999997520704664
19,2,0.0,-0.25768648132059585,0.9999999999999994
19,3,0.005409668717197049,-1.127895833758153,1.0
19,4,0.01794697473683886,-0.49129547943101837,1.0
19,5,0.0,-0.33742483250329747,1.0
19,6,0.0,-0.14998295745037957,0.9999987794522289
19,7,0.0,-0.18473268089846429,0.9999999964486875
19,8,0.0,-0.19539875755954364,0.9999999995222542
19,9,0.0,-0.1633831238975984,0.9999998541951497
19,10,0.0,-0.3520306410025543,1.0
19,12,0.0,-0.13150664608837076,0.9999824587776579
19,13,0.0,-0.22299853387591248,0.9999999999983135
19,14,0.028079723076904987,1.1261823742704455,3.5957496847276533e-180
19,15,0.0,-0.41977469211794605,1.0
19,17,0.023634767951440795,-0.06891046888608625,0.9851822183581818
19,18,0.0,-0.19218001850788063,0.9999999991156256
19,19,0.0,-0.293162437382184,1.0
20,0,0.0,-0.6115254149114268,1.0
20,1,0.01933481630025919,-0.11800825916143634,0.9998988252229616
20,2,0.0,-0.3665497940592628,1.0
20,3,0.00317359545466762,-1.6638637696745242,1.0
20,4,0.0,-1.0959535537193836,1.0
20,5,0.0,-0.8014444896668566,1.0
20,6,0.0,-0.209667945404656,0.9999999999720267
20,7,0.0,-0.4583015670504536,1.0
20,8,0.0,-0.27894791783888817,1.0
20,9,0.0,-0.3704386656274079,1.0
20,10,0.019352577759360213,-0.963120079824375,1.0
20,11,0.0,-0.17048952371090415,0.9999999557223679
20,12,0.018494100551117634,-0.11587268303572203,0.9998685048933045
20,13,0.015779799440233885,-1.0973875488797766,1.0
20,15,0.024572149192633383,0.1435934091352827,3.1765225621295887e-06
20,16,0.0,-0.6835225075134859,1.0
20,17,0.0,-0.28266153564377955,1.0
20,18,0.0,-0.46499555336428516,1.0
20,19,0.017649423124219486,-0.5490212522493438,1.0
21,0,0.007934374985354715,-0.7349554946525688,1.0
21,1,0.0,-0.1646349804481485,0.9999998814207
21,2,0.0,-0.5754842945599405,1.0
21,3,0.0,-0.3372015822887889,1.0
21,4,0.0,-0.8842645889221861,1.0
21,5,0.0,-0.35327719453573636,1.0
21,6,0.0,-0.6532402896605916,1.0
21,7,0.0,-0.16223224681917844,0.9999998238998593
21,8,0.0,-0.2630867251225703,0.9999999999999999
21,9,0.0,-0.9404119309409995,1.0
21,10,0.0,-0.27421418035566403,1.0
21,11,0.0,-0.5609040538760058,1.0
21,13,0.010038666289580936,-1.0148126352618387,1.0
21,15,0.014165143318377418,-0.5023549498921743,1.0
21,16,0.0,-0.3757413299521835,1.0
21,17,0.0,-0.3450047902413355,1.0
21,18,0.0,-0.3762056867059337,1.0
21,19,0.010019230917093846,-0.1913763325967103,0.9999999989700826
22,0,0.011397645663413128,-0.5884293347270672,1.0
22,1,0.0,-0.341854848803197,1.0
22,2,0.0,-0.2018421883505515,0.9999999998644485
22,3,0.010918642326573628,-0.9177561561793993,1.0
22,4,0.03017815503142515,0.28317553207123863,8.461738455220268e-19
22,5,0.0,-0.36527161338552433,1.0
22,6,0.0,-0.6553217530334121,1.0
22,7,0.0,-0.28738451236877965,1.0
22,8,0.007199904605961735,-0.9643436809522147,1.0
22,9,0.0,-0.5641230535815115,1.0
22,10,0.01009626172701621,-0.3442623307778492,1.0
22,11,0.0,-0.46065154347944154,1.0
22,12,0.0,-0.48096428120687656,1.0
22,13,0.0,-0.2208942595837885,0.999999999997346
22,14,0.0,-0.32715108581248314,1.0
22,15,0.00652582294266577,-0.5291739981072736,1.0
22,16,0.02169717764270118,-0.25356354702400774,0.9999999999999984
22,17,0.0,-0.18835138451436426,0.9999999981817665
22,18,0.0,-0.5867434194518384,1.0
22,19,0.014829858744065826,-0.3945107198292057,1.0
23,0,0.01797201841888796,-0.3907388240475452,1.0
23,1,0.0,-0.15343224377184825,0.9999992827123847
23,2,0.0,-0.30901181650912773,1.0
23,3,0.013609905238855823,-0.8011858858735725,1.0
23,4,0.022317853626822585,-0.06472764695979098,0.9794834322897275
23,5,0.0,-0.38945130680826795,1.0
23,7,0.14728375536576893,1.9283048756686088,0.0
23,8,0.005191918104184611,-0.6701113934579909,1.0
23,9,0.0,-0.2784794413306323,1.0
23,10,0.028388997720842718,0.5207046852922725,2.4630467037576018e-54
23,11,0.01601010982900548,-0.31291423924694706,1.0
23,12,0.0,-0.4368358697305911,1.0
